odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,cestatus,ceapplicationcycle,siteid,sitename,sitestatus,siteapplicationcycle,countydistrictcode,cecounty,sitecounty,cestreetaddressline1,cestreetaddresscity,cestreetaddressstate,cestreetaddresszipcode,cemailingaddressline1,cemailingaddresscity,cemailingaddressstate,cemailingaddresszipcode,sitestreetaddressline1,sitestreetaddresscity,sitestreetaddressstate,sitestreetaddresszipcode,superintendentsalutation,superintendentfirstname,superintendentlastname,superintendenttitleposition,superintendentemail,superintendentphone,childnutdirsalutation,childnutdirfirstname,childnutdirlastname,childnutdirtitleposition,childnutdiremail,childnutdirphone,seamlesssummercontactsalutation,seamlesssummercontactfirstname,seamlesssummercontactlastname,seamlesssummercontacttitleposition,seamlesssummercontactemail,seamlesssummercontactphone,sitetype,sitestartdate,siteenddate,daysofoperation,mealservicetype,mealtypesserved,lunchtime,lunchdaysserved,geolocation,:@computed_region_ptpy_sh92,:@computed_region_59h5_km5p,:@computed_region_de3d_j5mj,:@computed_region_ji3u_dqif,:@computed_region_rk7b_wvzt,breakfasttime,breakfastdaysserved,cestreetaddressline2,cemailingaddressline2,siteterminationstatus,siteterminatedasofdate,sitestreetaddressline2,amsnacktime,amsnackdaysserved,suppertime,supperdaysserved,pmsnacktime,pmsnackdaysserved,ceterminationstatus,ceterminatedasofdate
00282-0102,2022-2023,SSOCONTACTS,00282,LANCASTER ISD,Educational Institution,Public,10,2,Active,RENEWAL,0102,HOUSTON EL,Active,RENEWAL,057-913,DALLAS,DALLAS,422 S CENTRE AVE,LANCASTER,TX,75146-1621,422 S CENTRE AVE,LANCASTER,TX,75146-1621,2929 MARQUIS ST,LANCASTER,TX,75134-1602,Ms.,A. Katrise,Perera,SUPERINTENDENT,akperera@lancasterisd.org,9722181400,Mr.,Roger,Oster,Exec. Director or Operations,rogeroster@lancasterisd.org,9722181485,Ms.,Virginia,Morganfield,Cafeteria Manager,virginiamorganfield@lancasterisd.org,9722181684,Open,2023-06-05T00:00:00.000,2023-08-04T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:00 PM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.803925036, 32.624391011]}",109,46,16,30,23,8:00 AM - 9:00 AM,"M, T, W, TH, F",,,TDA Cancelled,2023-05-26T00:00:00.000,,,,,,,,,
00086-0110,2022-2023,SSOCONTACTS,00086,EAST CENTRAL ISD,Educational Institution,Public,20,4,Active,RENEWAL,0110,OAK CREST EL,Active,RENEWAL,015-911,BEXAR,BEXAR,6634 NEW SULPHUR SPRINGS RD,SAN ANTONIO,TX,78263-6634,6634 NEW SULPHUR SPRINGS RD,SAN ANTONIO,TX,78263-6634,7806 NEW SULPHUR SPRINGS RD,SAN ANTONIO,TX,78263-9627,Mr.,Roland,Toscano,SUPERINTENDENT,roland.toscano@ecisd.net,2106487861,Mrs.,Meredith,Rokas,CN Director,meredith.rokas@ecisd.net,2106346143,,Meredith,Rokas,CN Director,meredith.rokas@ecisd.net,2106346143,Open,2023-06-05T00:00:00.000,2023-07-27T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:00 AM - 1:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-98.335715997, 29.355183989]}",118,44,16,28,21,7:30 AM - 9:00 AM,"M, T, W, TH",,,,,,,,,,,,,
01068-0190,2022-2023,SSOCONTACTS,01068,AUSTIN ISD,Educational Institution,Public,13,4,Active,RENEWAL,0190,PEREZ EL,Active,RENEWAL,227-901,TRAVIS,TRAVIS,4000 S IH 35 FRONTAGE RD,AUSTIN,TX,78704-7420,4000 S IH 35 FRONTAGE RD,AUSTIN,TX,78704-7420,7500 S PLEASANT VLY RD,AUSTIN,TX,78744,Dr.,Stephanie S.,Elizalde,SUPERINTENDENT,superintendent@austinisd.org,5124141700,Ms.,Linley,Danner,"Interim Executive Director, Nutrition and Food Services",linley.danner@austinisd.org,5124140251,,Linley,Danner,Director of Operations,Linley.Danner@austinisd.org,5124140219,Open,2023-05-30T00:00:00.000,2023-08-04T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:00 PM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.755808997, 30.170478006]}",51,247,16,35,21,7:45 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01076-0103,2022-2023,SSOCONTACTS,01076,TRINITY ISD,Educational Institution,Public,6,3,Active,RENEWAL,0103,LANSBERRY EL,Active,RENEWAL,228-903,TRINITY,TRINITY,101 W JEFFERSON,TRINITY,TX,75862-0000,P O BOX 752,TRINITY,TX,75862-0752,400 S MAPLE,TRINITY,TX,75862-0752,Dr.,John,Kaufman,SUPERINTENDENT,jkaufman@trinityisd.net,9365943569,Mrs.,Gillian,Campbell,Director of Special Services and Federal Programs,gcampbell@trinityisd.net,9365943569,Mrs.,Gillian,Campbell,Director of Special Services and Federal Programs,gcampbell@trinityisd.net,9365943569,Open,2023-06-02T00:00:00.000,2023-07-01T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:30 AM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-95.377584778, 30.940641205]}",9,141,16,17,3,7:30 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00916-0104,2022-2023,SSOCONTACTS,00916,LIVINGSTON ISD,Educational Institution,Public,6,3,Active,RENEWAL,0104,CEDAR GROVE EL,Active,RENEWAL,187-907,POLK,POLK,1412 SOUTH HOUSTON,LIVINGSTON,TX,77351-1297,P O BOX 1297,LIVINGSTON,TX,77351-1297,819 West Church Street,Livingston,TX,77351,Mr.,Craig,Davis,Chief Financial Officer,cqdaivs@livingstonisd.com,9363282100,Mr.,Craig,Davis,Chief Financial Officer,cqdavis@livingstonisd.com,9363282299,Ms.,Amanda,Wild,Food Service Secretary,awild@livingstonisd.com,9363282299,Open,2023-05-30T00:00:00.000,2023-06-22T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:15 AM - 12:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-94.941349977, 30.709842998]}",9,228,16,8,3,7:00 AM - 8:00 AM,"M, T, W, TH",,,Self Cancelled,2023-05-22T00:00:00.000,,,,,,,,,
00652-0103,2022-2023,SSOCONTACTS,00652,PORT ARTHUR ISD,Educational Institution,Public,5,3,Active,RENEWAL,0103,HOUSTON EL,Active,RENEWAL,123-907,JEFFERSON,JEFFERSON,4801 9th Ave.,Port Arthur,TX,77642-5802,4801 9th Avenue,PORT ARTHUR,TX,77642-5802,3245 36TH ST,PORT ARTHUR,TX,77642-4528,Dr.,Mark,Porterie,SUPERINTENDENT,mporterie@paisd.org,4099896238,Mr.,Robin,Rhodes,Child Nutrition Director,Robin.Rhodes@paisd.org,4099896122,Mr.,Robin,Rhodes,Child Nutrition Director,Robin.Rhodes@paisd.org,4099896122,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:30 AM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-93.941003106, 29.917101437]}",22,172,16,14,4,7:30 AM - 9:00 AM,"M, T, W, TH",,,,,,,,,,,,,
00571-1042,2022-2023,SSOCONTACTS,00571,PHARR-SAN JUAN-ALAMO ISD,Educational Institution,Public,1,5,Active,RENEWAL,1042,SAN JUAN MEMORIAL LIBRARY,Active,RENEWAL,108-909,HIDALGO,HIDALGO,601 E KELLY,PHARR,TX,78577-1615,P O BOX 1150,PHARR,TX,78577-1615,1010 S. Standard,San Juan,TX,78589,Dr.,Alejandro,Elias,SUPERINTENDENT,dr.elias@psjaisd.us,9563542009,Mr.,Juan,Contreras,Administrator for CNP,juan.contreras@psjaisd.us,9567848545,Mr.,Juan,Contreras,Administrator for CNP,juan.contreras@psjaisd.us,9567848545,Open,2023-06-12T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH,F",Congregate,Lunch,11:30 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.160288966, 26.184642988]}",40,134,16,34,27,,,,,,,,,,,,,,,
00517-0012,2022-2023,SSOCONTACTS,00517,CYPRESS-FAIRBANKS ISD,Educational Institution,Public,4,3,Active,RENEWAL,0012,CY RANCH HIGH SCHOOL,Active,RENEWAL,101-907,HARRIS,HARRIS,10300 JONES RD,HOUSTON,TX,77065-4208,P O BOX 692003,HOUSTON,TX,77269-2003,10700 FRY RD,CYPRESS,TX,77433,Dr.,MARK,HENRY,SUPERINTENDENT,holly.reichert@cfisd.net,2818974077,Ms.,Carie,Hunter,Director,suzy.hunter@cfisd.net,2818974542,,Carie,Hunter,Nutrition Services Director,suzy.hunter@cfisd.net,2818974542,Open,2023-06-12T00:00:00.000,2023-07-27T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:45 AM - 1:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-95.719305005, 29.939497984]}",132,121,16,8,18,7:00 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00439-0125,2022-2023,SSOCONTACTS,00439,LONGVIEW ISD,Educational Institution,Public,7,2,Active,RENEWAL,0125,WARE EL,Active,RENEWAL,092-903,GREGG,GREGG,1301 E YOUNG ST,LONGVIEW,TX,75602-0301,P O BOX 3268,LONGVIEW,TX,75606-3268,1301 E. Young St.,Longview,TX,75602,Dr.,JAMES,WILCOX,SUPERINTENDENT,jewilcox@lisd.org,9033812200,Mrs.,Phyllis,Dozier,Director,pdozier@lisd.org,9033812355,Mrs.,Phyllis,Dozier,Child Nutrition Director,pdozier@lisd.org,9033812354,Open,2023-06-05T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:00 PM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-94.711801752, 32.485993971]}",7,149,16,1,1,7:30 AM - 8:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01020-0060,2022-2023,SSOCONTACTS,01020,FORT WORTH ISD,Educational Institution,Public,11,2,Active,RENEWAL,0060,WEDGWOOD MIDDLE,Active,RENEWAL,220-905,TARRANT,TARRANT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,3909 WILKIE WAY,FORT WORTH,TX,76133-2899,Ms.,Angelica,Ramsey,SUPERINTENDENT,karen.molinar@fwisd.org,8178141900,Ms.,Angela,Lowe,Assistant Director,angela.lowe@fwisd.org,8178143512,,ANGELA,LOWE,ASSISTANT DIRECTOR,ANGELA.LOWE@FWISD.ORG,8178143500,Open,2023-05-30T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:50 AM - 12:40 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.379472022, 32.659466007]}",97,190,16,12,10,7:30 AM - 8:15 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00047-0129,2022-2023,SSOCONTACTS,00047,KILLEEN ISD,Educational Institution,Public,12,2,Active,RENEWAL,0129,MAXDALE ELEMENTARY,Active,RENEWAL,014-906,BELL,BELL,200 N W S YOUNG DRIVE,KILLEEN,TX,76543-4025,P O BOX 967,KILLEEN,TX,76540-0967,2600 WESTWOOD DR,KILLEEN,TX,76549-3352,Dr.,John,Craft,SUPERINTENDENT,john.craft@killeenisd.org,2543360003,Mr.,Steve,Smith,Director,Steve.Smith@KilleenISD.org,2543360775,,Rachael,Hunter,Coordinator,Rachael.Hunter@KilleenISD.org,2543360775,Open,2023-06-05T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:30 AM - 11:30 AM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.771531016, 31.100338013]}",54,120,16,11,24,7:30 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00520-0106,2022-2023,SSOCONTACTS,00520,GALENA PARK ISD,Educational Institution,Public,4,3,Active,RENEWAL,0106,JACINTO CITY EL,Active,RENEWAL,101-910,HARRIS,HARRIS,14705 WOODFOREST BLVD,HOUSTON,TX,77015-3529,PO BOX 565,GALENA PARK,TX,77547-0565,10910 Wiggins,Houston,TX,77029,Dr.,John,Moore,SUPERINTENDENT of SCHOOLS,ASKTed@galenaparkisd.com,8323861000,Mr.,Brian,Aubin,Director of Student Nutrition,baubin@galenaparkisd.com,8323861286,,Brian,Aubin,Director,baubin@galenaparkisd.com,8323861286,Open,2023-06-05T00:00:00.000,2023-07-06T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",10:30 AM - 11:30 AM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-95.236304959, 29.765583007]}",143,121,16,29,6,7:30 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00115-0001,2022-2023,SSOCONTACTS,00115,BRAZOSPORT ISD,Educational Institution,Public,4,3,Active,RENEWAL,0001,BRAZOSPORT H S,Active,RENEWAL,020-905,BRAZORIA,BRAZORIA,301 W BRAZOSWOOD DR,CLUTE,TX,77531-3598,P O DRAWER Z,FREEPORT,TX,77541-1926,1800 W SECOND ST,FREEPORT,TX,77541-1926,Mr.,Danny,Massey,SUPERINTENDENT,dmassey@brazosportisd.net,9797307000,,Amy,Anderson,Director Child Nutrition Services,amy.anderson@brazosportisd.net,9797307110,,Amy,Anderson,Director Child Nutrition,amy.anderson@brazosportisd.net,9797307110,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:45 AM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-95.372209975, 28.959647007]}",25,143,16,14,17,7:30 AM - 8:15 AM,"M, T, W, TH",,,,,,,,,,,,,
00562-0109,2022-2023,SSOCONTACTS,00562,IDEA ACADEMY,Educational Institution,Charter,1,5,Active,RENEWAL,0109,IDEA Edinburg Academy.,Active,RENEWAL,108-807,HIDALGO,HIDALGO,2115 W. Pike Boulevard,Weslaco,TX,78596-4694,2115 W. Pike Blvd.,Weslaco,TX,78596-4694,2553 Roegiers Road,Edinburg,TX,78541-8602,Dr.,Jeff,Cottrill,Superintendent,jeffrey.cottrill@ideapublicschools.org,9563143416,Mr.,Fernando,Aguilar,Vice President of The Child Nutrition Program,fernando.aguilar@ideapublicschools.org,9563731748,,Laura,Moreno,Cafeteria Manager,laura.moreno@ideapublicschools.org,9562507188,Open,2023-05-30T00:00:00.000,2023-07-21T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.150169998, 26.328343007]}",40,134,16,15,20,7:30 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01174-0101,2022-2023,SSOCONTACTS,01174,YANTIS ISD,Educational Institution,Public,7,2,Active,RENEWAL,0101,YANTIS ELEMENTARY SCHOOL,Active,RENEWAL,250-905,WOOD,WOOD,105 W OAK ST,YANTIS,TX,75497-0149,105 W OAK ST,YANTIS,TX,75497-0149,105 W OAK,YANTIS,TX,75497,Mrs.,Tracey,Helfferich,SUPERINTENDENT,thelfferich@yantisisd.net,9033832463,Mrs.,Mitzi,McLane,Cafeteria Manager,mmclane@yantisisd.net,9033832463,,Mitzi,McLane,Child Nutrition Director,mmclane@yantisisd.net,9033832462,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"T,W,TH",Congregate,"Breakfast, Lunch",12:00 PM - 12:25 PM,"T, W, TH","{'type': 'Point', 'coordinates': [-95.575950991, 32.929885985]}",5,249,16,5,1,7:40 AM - 8:00 AM,"T, W, TH",,,,,,,,,,,,,
00122-0001,2022-2023,SSOCONTACTS,00122,COLLEGE STATION ISD,Educational Institution,Public,6,3,Active,RENEWAL,0001,A & M CONS H S,Active,RENEWAL,021-901,BRAZOS,BRAZOS,1812 WELSH AVE,COLLEGE STATION,TX,77840-4851,1812 WELSH AVE,COLLEGE STATION,TX,77840-4851,1801 HARVEY MITCHELL PKWY S,COLLEGE STATION,TX,77840-5198,Mr.,Mike,Martindale,SUPERINTENDENT,cglenewinkel@csisd.org,9797645400,Mrs.,Bridget,Goodlett,Director of Child Nutrition Services,bgoodlett@csisd.org,9797645450,Mrs.,Bridget,Goodlett,Director of Child Nutrition Services,bgoodlett@csisd.org,9797645450,Closed,2023-06-02T00:00:00.000,2023-06-15T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.317770964, 30.592630003]}",14,101,16,10,5,8:00 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00957-0001,2022-2023,SSOCONTACTS,00957,WEST RUSK ISD,Educational Institution,Public,7,2,Active,RENEWAL,0001,WEST RUSK H S,Active,RENEWAL,201-914,RUSK,RUSK,10705 S MAIN,NEW LONDON,TX,75682-0168,P O BOX 168,NEW LONDON,TX,75682-0168,PO BOX 735,NEW LONDON,TX,75682-0168,Mr.,Lawrence,Coleman,SUPERINTENDENT,colemanl@westruskisd.org,9033927850,Mr.,Steve,Alexander,Food Service Director,alexanders@westruskisd.org,9033927850,,Steve,Alexander,Food Service Dir.,alexanders@westruskisd.org,9033927850,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",10:45 AM - 12:45 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-94.944024978, 32.23098802]}",11,118,16,1,1,7:00 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01025-0115,2022-2023,SSOCONTACTS,01025,CROWLEY ISD,Educational Institution,Public,11,2,Active,RENEWAL,0115,JUNE W DAVIS EL,Active,RENEWAL,220-912,TARRANT,TARRANT,512 PEACH ST,CROWLEY,TX,76036-0688,P O BOX 688,CROWLEY,TX,76036-0688,6301 Rockrose Trail,Fort Worth,TX,76123,Mr.,Jarvis,Walker,Executive Director of Operations,jarvis.walker@crowley.k12.tx.us,8172975942,Mr.,Leon,Fisher,Executive Director of Finance,Leon.Fisher@crowley.k12.tx.us,8172975268,,Jarvis,Walker,Executive Director of Operations,Jarvis.walker@crowley.k12.tx.us,8172975940,Open,2023-06-12T00:00:00.000,2023-06-23T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.421135026, 32.61105402]}",97,190,16,12,10,7:15 AM - 8:15 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00315-0102,2022-2023,SSOCONTACTS,00315,CARRIZO SPRINGS CONS ISD,Educational Institution,Public,20,4,Active,RENEWAL,0102,CARRIZO SPRINGS EL,Active,RENEWAL,064-903,DIMMIT,DIMMIT,300 N 7th Street,CARRIZO SPRINGS,TX,78834-3102,300 N 7th Street,CARRIZO SPRINGS,TX,78834-3102,605 N. 9th,carrizo springs,TX,78834,Dr.,Jose A,Cervantes,SUPERINTENDENT,jcervantes@cscisd.net,8308762473,Ms.,yolanda,samaniego,Food Service Secretary,ysamaniego@cscisd.net,8308763503,Mrs.,yolanda,samaniego,Student Nutrition Secretary,ysamaniego@cscisd.net,8308763503,Open Restricted,2023-06-05T00:00:00.000,2023-07-14T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:45 AM - 1:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-99.861304015, 28.526554992]}",80,8,16,23,21,7:30 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00935-0102,2022-2023,SSOCONTACTS,00935,AUSTWELL-TIVOLI ISD,Educational Institution,Public,3,5,Active,RENEWAL,0102,AUSTWELL-TIVOLI EL,Active,RENEWAL,196-901,REFUGIO,REFUGIO,207 Redfish Street,Tivoli,TX,77990-4500,207 Redfish Street,TIVOLI,TX,77990-4500,207 REDFISH ST,TIVOLI,TX,77990-4500,Ms.,Dolores,Vela,SUPERINTENDENT,dvela@atisd.net,3612863212,Mrs.,Esther,Hernandez,Food Service Director,e.hernandez@atisd.net,3612863212,Ms.,Dolores,Vela,Superintendent,dvela@atisd.net,3612863212,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.891358009, 28.457419001]}",43,170,16,27,18,8:00 AM - 8:45 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00276-0037,2022-2023,SSOCONTACTS,00276,DALLAS ISD,Educational Institution,Public,10,2,Active,RENEWAL,0037,ROSIE SORRELLS EDUCATION AND SOCIAL SERVICES HS,Active,RENEWAL,057-905,DALLAS,DALLAS,9400 North Central Expressway.,DALLAS,TX,75231-5491,1515 Al Lipscomb Way,DALLAS,TX,75215-2632,1201 EAST 8TH STREET,DALLAS,TX,75203,Ms.,Stephanie,Elizalde,Superintendent,selizalde@dallasisd.org,9729253700,Mr.,Michael,Rosenberger,Executive Director,MROSENBERGER@dallasisd.org,2149325502,,Susan,Rahaman,Lead Area Supervisor,srahaman@dallasisd.org,2149325551,Open,2023-05-30T00:00:00.000,2023-08-11T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.807071016, 32.752847994]}",100,46,16,30,23,8:00 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00248-0041,2022-2023,SSOCONTACTS,00248,LIFE SCHOOL,Educational Institution,Charter,10,2,Active,RENEWAL,0041,LIFE MIDDLE WAXAHACHIE,Active,RENEWAL,057-807,DALLAS,ELLIS,"132 East Ovilla Rd., Suite A",Red Oak,TX,75154-2460,"132 East Ovilla Rd., Suite A",Red Oak,TX,75154-2460,3295 Hwy 77,Waxahachie,TX,75165,Mr.,Brent,Wilson,Superintendent,brent.wilson@lifeschools.net,4698505433,Mrs.,Kay,Bateman,Federal Programs Manager,kay.bateman@lifeschools.net,4698505433,Mrs.,Kay,Bateman,Federal Programs Manager,kay.bateman@lifeschools.net,4698505433,Open,2023-05-30T00:00:00.000,2023-06-08T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:15 AM - 11:45 AM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-96.835147038, 32.46553098]}",10,65,16,6,2,7:40 AM - 8:00 AM,"M, T, W, TH",,,,,,,,,,,,,
00568-0044,2022-2023,SSOCONTACTS,00568,MCALLEN ISD,Educational Institution,Public,1,5,Active,RENEWAL,0044,BROWN MIDDLE,Active,RENEWAL,108-906,HIDALGO,HIDALGO,2000 N 23RD ST,MCALLEN,TX,78501-2000,2000 N 23RD ST,MCALLEN,TX,78501-2000,2700 S WARE RD,MCALLEN,TX,78503-8456,Dr.,Jose,Gonzalez,SUPERINTENDENT,Jose.Gonzalez@mcallenisd.net,9566186000,Ms.,Alexandra,Molina,Child Nutrition Director,alexandra.molina@mcallenisd.net,9566323226,Mrs.,Sonia,Esquivel,Director,sonia.esquivel@mcallenisd.net,9566323226,Closed,2023-05-30T00:00:00.000,2023-07-27T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",12:00 PM - 1:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-98.267449, 26.186157012]}",36,134,16,15,20,7:30 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00142-0101,2022-2023,SSOCONTACTS,00142,LOCKHART ISD,Educational Institution,Public,13,4,Active,RENEWAL,0101,CLEAR FORK EL,Active,RENEWAL,028-902,CALDWELL,CALDWELL,419 Bois D'Arc,LOCKHART,TX,78644-2730,P O BOX 120,LOCKHART,TX,78644-0120,1102 CLEAR FORK ST,LOCKHART,TX,78644-2930,Mr.,Mark,Estrada,Superintendent,mark.estrada@lockhart.txed.net,5123980024,Ms.,Denise,Manibusan,School Nutrition Coordinator,denise.manibusan@lockhart.txed.net,5123980290,,Denise,Manibusan,Nutrition Coordinator,denise.manubusan@lockhart.txed.net,5123980290,Closed,2023-05-30T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.682544038, 29.875306017]}",17,29,16,27,21,7:00 AM - 8:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01153-0129,2022-2023,SSOCONTACTS,01153,ROUND ROCK ISD,Educational Institution,Public,13,4,Active,RENEWAL,0129,JOE LEE JOHNSON EL,Active,RENEWAL,246-909,WILLIAMSON,WILLIAMSON,1311 ROUND ROCK AVE,ROUND ROCK,TX,78681-4941,1311 ROUND ROCK AVE,ROUND ROCK,TX,78681-4941,2800 Sauls Dr.,Austin,TX,78728,Dr.,Hafedh,Azaiez,SUPERINTENDENT,superintendent_rrisd@roundrockisd.org,5124645000,,Dennis,Covington,Chief Financial Officer,dennis_covington@roundrockisd.org,5124645042,,Yana,Koleva,Food Service Director,yana_koleva@roundrockisd.org,5124648394,Closed,2023-07-11T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.681279964, 30.456730016]}",50,247,16,10,14,7:20 AM - 7:40 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00807-0003,2022-2023,SSOCONTACTS,00807,MIDLAND ISD,Educational Institution,Public,18,1,Active,RENEWAL,0003,MIDLAND H S,Active,RENEWAL,165-901,MIDLAND,MIDLAND,615 W MISSOURI AVE,MIDLAND,TX,79701-5017,615 W MISSOURI AVE,MIDLAND,TX,79701-5017,906 W ILLINOIS AVE,MIDLAND,TX,79701-6198,Dr.,Stephanie,Howard,Superintendent,stephanie.howard@midlandisd.net,4322401002,Ms.,Victoria,Beck,Director of Child Nutrition Services,victoria.beck@midlandisd.net,4322401840,Ms.,Victoria,Beck,CNS Director,victoria.beck@midlandisd.net,4322401846,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",12:30 PM - 1:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-102.084428986, 32.000045004]}",82,222,16,11,31,8:20 AM - 8:40 AM,"M, T, W, TH",,,,,,,,,,,,,
01153-0101,2022-2023,SSOCONTACTS,01153,ROUND ROCK ISD,Educational Institution,Public,13,4,Active,RENEWAL,0101,CLAUDE BERKMAN EL,Active,RENEWAL,246-909,WILLIAMSON,WILLIAMSON,1311 ROUND ROCK AVE,ROUND ROCK,TX,78681-4941,1311 ROUND ROCK AVE,ROUND ROCK,TX,78681-4941,400 W  ANDERSON  AVE,ROUND ROCK,TX,78664-4308,Dr.,Hafedh,Azaiez,SUPERINTENDENT,superintendent_rrisd@roundrockisd.org,5124645000,,Dennis,Covington,Chief Financial Officer,dennis_covington@roundrockisd.org,5124645042,,Yana,Koleva,Food Service Director,yana_koleva@roundrockisd.org,5124648394,Open,2023-07-11T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:20 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.684263251, 30.510720914]}",136,234,16,17,5,7:20 AM - 7:40 AM,"M, T, W, TH, F",,,,,,,,,,,,,
